Path,Name,N_Tracks
data/midi-classic-music/midiclassics/Rothchild Oboe Concerto Rmw09 1mov.mid,Rothchild Oboe Concerto Rmw09 1mov.mid,8.0
data/midi-classic-music/midiclassics/Rothchild Oboe Concerto Rmw09 2mov.mid,Rothchild Oboe Concerto Rmw09 2mov.mid,6.0
data/midi-classic-music/midiclassics/Rothchild Oboe Concerto Rmw09 3mov.mid,Rothchild Oboe Concerto Rmw09 3mov.mid,8.0
data/midi-classic-music/midiclassics/Rothchild Piano Sonata Rmw13 1mov.mid,Rothchild Piano Sonata Rmw13 1mov.mid,2.0
data/midi-classic-music/midiclassics/Rothchild Piano Sonata Rmw13 2mov.mid,Rothchild Piano Sonata Rmw13 2mov.mid,2.0
data/midi-classic-music/midiclassics/Rothchild Piano Sonata Rmw13 3mov.mid,Rothchild Piano Sonata Rmw13 3mov.mid,2.0
data/midi-classic-music/midiclassics/Rothchild Symphony Rmw12 1mov.mid,Rothchild Symphony Rmw12 1mov.mid,11.0
"data/midi-classic-music/midiclassics/Albe'niz/Catalun~a (Curranda), No.2 from Suite Espanola.mid","Catalun~a (Curranda), No.2 from Suite Espanola.mid",2.0
data/midi-classic-music/midiclassics/Albe'niz/Espan~a Op. 165 No.1.mid,Espan~a Op. 165 No.1.mid,2.0
data/midi-classic-music/midiclassics/Albe'niz/Espan~a Op. 165 No.2.mid,Espan~a Op. 165 No.2.mid,2.0
data/midi-classic-music/midiclassics/Albe'niz/Espan~a Op. 165 No.3.mid,Espan~a Op. 165 No.3.mid,2.0
data/midi-classic-music/midiclassics/Albe'niz/Espan~a Op. 165 No.4.mid,Espan~a Op. 165 No.4.mid,2.0
data/midi-classic-music/midiclassics/Albe'niz/Espan~a Op. 165 No.5.mid,Espan~a Op. 165 No.5.mid,2.0
data/midi-classic-music/midiclassics/Albe'niz/Espan~a Op. 165 No.6.mid,Espan~a Op. 165 No.6.mid,2.0
data/midi-classic-music/midiclassics/Albe'niz/Ti'tulo Desconocido 2.mid,Ti'tulo Desconocido 2.mid,2.0
data/midi-classic-music/midiclassics/Albe'niz/Ti'tulo Desconocido 3.mid,Ti'tulo Desconocido 3.mid,13.0
